source,expectation_type,column,table,severity,test_category,success,result_type,rule_kind,element_count,missing_count,missing_percent,unexpected_count,unexpected_percent,unexpected_percent_total,observed_value,expectation_kwargs,run_date,environment_name
READINGS,expect_column_values_to_be_unique,READING_ID,READINGS,critical,DQ,True,success,single_column,151,0,0.0,0,0.0,0.0,,"{""column"": ""READING_ID""}",2026-09-12T14:45:13.441997+00:00,demo_weather
READINGS,expect_column_values_to_not_be_null,STATION_ID,READINGS,critical,DQ,True,success,single_column,151,,,0,0.0,,,"{""column"": ""STATION_ID""}",2026-09-12T14:45:13.441997+00:00,demo_weather
READINGS,expect_column_values_to_be_dateutil_parseable,READING_TS,READINGS,critical,DQ,False,failure,single_column,151,0,0.0,1,0.6622516556291391,0.6622516556291391,,"{""column"": ""READING_TS""}",2026-09-12T14:45:13.441997+00:00,demo_weather
READINGS,expect_column_values_to_be_between,HUMIDITY_PCT,READINGS,critical,DQ,False,failure,single_column,151,0,0.0,1,0.6622516556291391,0.6622516556291391,,"{""column"": ""HUMIDITY_PCT"", ""max_value"": 100.0, ""min_value"": 0.0}",2026-09-12T14:45:13.441997+00:00,demo_weather
READINGS,expect_column_values_to_be_between,TEMPERATURE_F,READINGS,critical,DQ,False,failure,single_column,151,0,0.0,1,0.6622516556291391,0.6622516556291391,,"{""column"": ""TEMPERATURE_F"", ""max_value"": 130.0, ""min_value"": -40.0}",2026-09-12T14:45:13.441997+00:00,demo_weather
READINGS,expect_column_stdev_to_be_between,TEMPERATURE_F,READINGS,warning,DQ,False,failure,single_column,,,,,,,86.70116356911488,"{""catch_exceptions"": true, ""column"": ""TEMPERATURE_F"", ""max_value"": 20.0, ""min_value"": 0.0}",2026-09-12T14:45:13.441997+00:00,demo_weather
READINGS,expect_column_values_to_not_be_null,PRESSURE_HPA,READINGS,warning,DQ,False,failure,single_column,151,,,1,0.6622516556291391,,,"{""column"": ""PRESSURE_HPA""}",2026-09-12T14:45:13.441997+00:00,demo_weather
READINGS,expect_column_values_to_be_between,PRESSURE_HPA,READINGS,warning,DQ,True,success,single_column,151,1,0.6622516556291391,0,0.0,0.0,,"{""column"": ""PRESSURE_HPA"", ""max_value"": 1085.0, ""min_value"": 930.0}",2026-09-12T14:45:13.441997+00:00,demo_weather
READINGS,expect_column_values_to_be_between,WIND_SPEED_MPH,READINGS,warning,DQ,False,failure,single_column,151,0,0.0,1,0.6622516556291391,0.6622516556291391,,"{""column"": ""WIND_SPEED_MPH"", ""max_value"": 150.0, ""min_value"": 0.0}",2026-09-12T14:45:13.441997+00:00,demo_weather
READINGS,expect_column_values_to_be_between,RAINFALL_IN,READINGS,warning,DQ,False,failure,single_column,151,0,0.0,1,0.6622516556291391,0.6622516556291391,,"{""column"": ""RAINFALL_IN"", ""max_value"": 20.0, ""min_value"": 0.0}",2026-09-12T14:45:13.441997+00:00,demo_weather
READINGS,expect_column_values_to_be_between,BATTERY_PCT,READINGS,warning,DQ,False,failure,single_column,151,0,0.0,1,0.6622516556291391,0.6622516556291391,,"{""column"": ""BATTERY_PCT"", ""max_value"": 100.0, ""min_value"": 0.0}",2026-09-12T14:45:13.441997+00:00,demo_weather
READINGS,expect_compound_columns_to_be_unique,"STATION_ID, READING_TS",READINGS,critical,DQ,False,failure,compound_key,151,0,0.0,2,1.3245033112582782,1.3245033112582782,,"{""column_list"": [""STATION_ID"", ""READING_TS""]}",2026-09-12T14:45:13.441997+00:00,demo_weather
READINGS,expect_table_row_count_to_be_between,READING_ID,READINGS,info,DQ,True,success,aggregate,,,,,,,151,"{""catch_exceptions"": true, ""max_value"": 500, ""min_value"": 50}",2026-09-12T14:45:13.441997+00:00,demo_weather
